ID_Q;CUARTO;ID_partido;#;EQUIPO;JORNADA;RESULTADO;RIVAL;RESULTADO_RIVAL;LOCAL;TITULAR;VICTORIA;MIN_Q;SEG_Q;PTS_Q;TCA_Q;TCI_Q;TCF_Q;T2A_Q;T2I_Q;T2F_Q;T3A_Q;T3I_Q;T3F_Q;TLA_Q;TLI_Q;TLF_Q;RO_Q;RD_Q;RT_Q;ASI_Q;PER_Q;REC_Q;TAP_Q;TAPR_Q;FP_Q;FPR_Q;MAT_Q;+/-_Q;VAL_Q;MIN_Eq_Q;PTS_Eq_Q;TCA_Eq_Q;TCI_Eq_Q;TCF_Eq_Q;T2A_Eq_Q;T2I_Eq_Q;T2F_Eq_Q;T3A_Eq_Q;T3I_Eq_Q;T3F_Eq_Q;TLA_Eq_Q;TLI_Eq_Q;TLF_Eq_Q;RO_Eq_Q;RD_Eq_Q;RT_Eq_Q;ASI_Eq_Q;PER_Eq_Q;REC_Eq_Q;TAP_Eq_Q;TAPR_Eq_Q;FP_Eq_Q;FPR_Eq_Q;MAT_Eq_Q;VAL_Eq_Q
0_UNI_J1_Q1;1;0_UNI_J1;0;UNI;1;86;SBB;68;True;True;True;4,9;294;0;0;2;2;0;1;1;0;1;1;0;0;0;1;2;3;0;0;0;0;0;1;0;0;-4;0;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
2_UNI_J1_Q1;1;2_UNI_J1;2;UNI;1;86;SBB;68;True;True;True;4,9;294;2;0;1;1;0;1;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0;-4;1;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
4_UNI_J1_Q1;1;4_UNI_J1;4;UNI;1;86;SBB;68;True;False;True;4,6;276;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
7_UNI_J1_Q1;1;7_UNI_J1;7;UNI;1;86;SBB;68;True;False;True;6,1;366;2;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;0;-2;4;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
9_UNI_J1_Q1;1;9_UNI_J1;9;UNI;1;86;SBB;68;True;False;True;5,1;306;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
13_UNI_J1_Q1;1;13_UNI_J1;13;UNI;1;86;SBB;68;True;False;True;1,6;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;0;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
14_UNI_J1_Q1;1;14_UNI_J1;14;UNI;1;86;SBB;68;True;True;True;3,85;231;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;-1;-2;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
19_UNI_J1_Q1;1;19_UNI_J1;19;UNI;1;86;SBB;68;True;False;True;1,55;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;-4;-2;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
27_UNI_J1_Q1;1;27_UNI_J1;27;UNI;1;86;SBB;68;True;True;True;3,85;231;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;3;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
33_UNI_J1_Q1;1;33_UNI_J1;33;UNI;1;86;SBB;68;True;False;True;3,55;213;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;2;1;1;0;0;0;0;0;5;2;20,0;15;6;12;6;5;8;3;1;4;3;2;3;1;1;5;6;6;6;3;0;0;4;4;1;17
