ID_partido;#;EQUIPO;JORNADA;RESULTADO;RIVAL;RESULTADO_RIVAL;LOCAL;TITULAR;VICTORIA;MIN;SEG;PTS;TCA;TCI;TCF;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RO;RD;RT;ASI;PER;REC;TAP;TAPR;FP;FPR;MAT;+/-;VAL;MIN_Eq;TCA_Eq;TCI_Eq;TCF_Eq;T2A_Eq;T2I_Eq;T2F_Eq;T3A_Eq;T3I_Eq;T3F_Eq;TLA_Eq;TLI_Eq;TLF_Eq;RO_Eq;RD_Eq;RT_Eq;ASI_Eq;PER_Eq;REC_Eq;TAP_Eq;TAPR_Eq;FP_Eq;FPR_Eq;MAT_Eq;VAL_Eq;POS_Eq;POS_Rival;PACE;ORtg;DRtg;NRtg;%TE_Eq;%TR_Eq;%ASI_Eq;%PER_Eq;%RO_Eq;%RD_Eq;%RT_Eq;RTL_Eq;RT3I_Eq;%USO;%TR;%TE;%ASI;%PER;%RO;%RD;%RT;%REC;%TAP;RTL;RT3I;PPT
0_UNI_J1;0;UNI;1;86;SBB;68;True;True;True;12,4;744;6;2;5;3;2;3;1;0;2;2;2;2;0;1;2;3;0;0;0;0;0;2;1;1;3;5;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;49,47246201221667;0,5102040816326531;0,4;0,0;0,0;19,550342130987293;37,950664136622386;28,887818969667787;0,0;0,0;0,4;0,4;1,2
2_UNI_J1;2;UNI;1;86;SBB;68;True;True;True;20,483333333333334;1229;17;5;7;2;4;6;2;1;1;0;6;7;1;0;4;4;0;1;0;0;1;4;6;1;3;18;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;56,434802650092756;0,8432539682539683;0,7857142857142857;0,0;9,025270758122744;0,0;45,94840377159814;23,31710042140801;0,0;0,0;1,0;0,14285714285714285;2,4285714285714284
4_UNI_J1;4;UNI;1;86;SBB;68;True;False;True;16,45;987;6;2;4;2;1;3;2;1;1;0;1;2;1;2;1;3;2;1;0;0;0;2;2;0;17;7;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;37,29231179036393;0,6147540983606558;0,625;43,66812227074236;17,006802721088437;29,474072027263514;14,303593777936708;21,775620378351405;0,0;0,0;0,5;0,25;1,5
7_UNI_J1;7;UNI;1;86;SBB;68;True;False;True;13,6;816;4;1;2;1;1;1;0;0;1;1;2;3;1;0;1;1;0;0;1;0;0;1;3;0;-6;6;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;25,46871643806193;0,6024096385542168;0,5;0,0;0,0;0,0;17,301038062283737;8,77963125548727;7,809815375964513;0,0;1,5;0,5;2,0
9_UNI_J1;9;UNI;1;86;SBB;68;True;False;True;17,633333333333333;1058;6;2;2;0;1;1;0;1;1;0;1;2;1;1;0;1;2;1;0;0;0;0;3;0;7;10;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;22,95647440619351;1,0416666666666667;1,25;39,5778364116095;25,77319587628866;13,74806667812339;0,0;6,771435826538386;0,0;0,0;1,0;0,5;3,0
13_UNI_J1;13;UNI;1;86;SBB;68;True;False;True;13,45;807;2;1;6;5;1;4;3;0;2;2;0;0;0;0;1;1;2;2;1;0;1;2;0;0;-1;-4;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;62,05482932013117;0,16666666666666666;0,16666666666666666;45,662100456621005;25,0;0,0;17,49398644216051;8,877545358708318;7,896913688707612;0,0;0,0;0,3333333333333333;0,3333333333333333
14_UNI_J1;14;UNI;1;86;SBB;68;True;True;True;20,183333333333334;1211;11;5;8;3;4;6;2;1;2;1;0;2;2;0;1;1;0;2;1;0;0;2;1;0;16;5;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;56,23981525634217;0,6193693693693693;0,6875;0,0;18,38235294117647;0,0;11,657842327682518;5,915919987182174;5,2624354639034205;0,0;0,25;0,25;1,375
19_UNI_J1;19;UNI;1;86;SBB;68;True;False;True;12,783333333333333;767;9;4;5;1;4;5;1;0;0;0;1;2;1;3;3;6;1;2;0;0;0;3;2;1;11;11;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;64,3116995468392;0,7653061224489796;0,8;89,82035928143713;25,380710659898476;56,89226028209079;55,21895850908812;56,04312206892526;0,0;0,0;0,4;0,0;1,8
27_UNI_J1;27;UNI;1;86;SBB;68;True;True;True;22,666666666666668;1360;9;4;8;4;3;5;2;1;3;2;0;0;0;0;3;3;6;4;1;0;1;3;1;0;15;8;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;55,233360950013804;0,5625;0,5625;118,42105263157896;33,333333333333336;0,0;31,141868512110722;15,803336259877085;4,685889225578707;0,0;0,0;0,375;1,125
33_UNI_J1;33;UNI;1;86;SBB;68;True;False;True;14,816666666666666;889;2;1;4;3;1;2;1;0;2;2;0;0;0;2;5;7;4;1;1;0;0;0;0;0;4;10;80,0;32;61;29;25;43;18;7;18;11;15;22;7;11;26;37;26;17;7;0;3;25;22;4;97;76,68;75,32;38,0;112,15440792905581;90,28146574614976;21,872942182906044;0,5819672131147541;0,608375778155065;81,25;22,170057381324984;33,333333333333336;76,47058823529412;55,223880597014926;0,36065573770491804;0,29508196721311475;35,20686674729039;0,25;0,25;81,19079837618403;20,0;32,723182329481546;79,40183947594787;56,4108590903749;7,168514450829069;0,0;0,0;0,5;0,5
