Equipo,Dorsal,Nombre,Apellido,Posición,Altura,Fecha_Nacim,Pais_Nacim,Comunidad,Nacionalidad,Licencia,Foto,Bandera_Pais,Bandera_Comunidad
JOV,0,Henri,Drell,4,206,25/04/2000,EST,,EST,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/0.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/EST.png?raw=true,
JOV,1,Yannick,Kraag,3,202,16/10/2002,NLD,,NLD,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/1.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/NLD.png?raw=true,
JOV,9,Ricky,Rubio,1,189,21/10/1990,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/9.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CAT.png?raw=true
JOV,11,Jabari,Parker,4,203,15/03/1995,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/11.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
JOV,12,Ludde,Hakanson,1,189,22/03/1996,SWE,,SWE,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/12.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/SWE.png?raw=true,
JOV,16,Guillem,Vives,1,192,16/06/1993,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/16.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CAT.png?raw=true
JOV,20,Adrián,Torres,3,203,12/09/2006,ESP,BAL,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/20.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/BAL.png?raw=true
JOV,21,Miguel,Allen,3,205,10/05/2003,CAN,,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/21.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/CAN.png?raw=true,
JOV,22,Humberto,Ruiz,2,198,07/02/2009,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/22.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CAT.png?raw=true
JOV,23,Michael,Ruzic,4,206,04/10/2006,FRA,,HRV,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/23.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/FRA.png?raw=true,
JOV,24,Cameron,Hunt,2,191,25/08/1997,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/24.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
JOV,25,Yannis,Morin,5,208,31/08/1993,FRA,,FRA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/25.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/FRA.png?raw=true,
JOV,32,Ferran,Mauri,1,191,30/09/2007,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/32.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CAT.png?raw=true
JOV,34,Diego,Niebla,2,202,18/01/2008,ESP,GAL,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/34.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/GAL.png?raw=true
JOV,35,Simon,Birgander,5,209,23/10/1997,SWE,,SWE,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/35.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/SWE.png?raw=true,
JOV,44,Ante,Tomic,5,217,17/02/1987,HRV,,HRV,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/44.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/HRV.png?raw=true,
JOV,88,Adam,Hanga,3,201,12/04/1989,HUN,,HUN,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/88.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/HUN.png?raw=true,
JOV,17,Sam,Dekker,4,206,06/05/1994,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/JOV/cuerpo/17.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
BAR,0,Kevin,Punter,2,193,25/06/1993,USA,,SRB,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/0.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
BAR,2,Juani,Marcos,1,190,06/07/2000,ARG,,ITA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/2.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ARG.png?raw=true,
BAR,3,Myles,Cale,3,198,05/03/1999,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/3.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
BAR,5,Miles,Norris,4,206,14/04/2000,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/5.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
BAR,6,Jan,Vesely,5,210,24/04/1990,CZE,,CZE,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/6.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/CZE.png?raw=true,
BAR,8,Darío,Brizuela,2,188,08/11/1994,ESP,EUS,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/8.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/EUS.png?raw=true
BAR,13,Tomas,Satoransky,1,201,30/10/1991,CZE,,CZE,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/13.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/CZE.png?raw=true,
BAR,14,Willy,Hernangómez,5,210,27/05/1994,ESP,MAD,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/14.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/MAD.png?raw=true
BAR,17,Juan,Núñez,1,191,04/06/2004,ESP,MAD,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/17.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/MAD.png?raw=true
BAR,19,Youssoupha,Fall,5,221,12/01/1995,SEN,,FRA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/19.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/SEN.png?raw=true,
BAR,20,Nico,Laprovittola,1,190,31/01/1990,ARG,,ITA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/20.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ARG.png?raw=true,
BAR,21,Will,Clyburn,3,201,17/05/1990,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/21.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
BAR,23,Tornike,Shengelia,4,206,05/10/1991,GEO,,GEO,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/23.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/GEO.png?raw=true,
BAR,41,Sayon,Keita,5,212,01/03/2008,MLI,,MLI,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/41.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/MLI.png?raw=true,
BAR,43,Nikola,Kusturica,3,203,30/04/2009,SRB,,SRB,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/43.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/SRB.png?raw=true,
BAR,44,Joel,Parra,3,202,04/04/2000,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/44.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CAT.png?raw=true
BAR,47,Dani,González,2,190,28/02/2007,ESP,CYL,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/BAR/cuerpo/47.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CYL.png?raw=true
CAZ,0,Marco,Spissu,1,184,05/02/1995,ITA,,ITA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/0.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ITA.png?raw=true,
CAZ,00,Devin,Robinson,4,203,07/03/1995,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/00.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,2,Trae,Bell-Haynes,1,188,05/09/1995,CAN,,JAM,COT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/2.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/CAN.png?raw=true,
CAZ,3,Justin,Wright-Foreman,1,183,27/10/1997,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/3.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,4,Santi,Yusta,3,200,28/04/1997,ESP,MAD,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/4.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/MAD.png?raw=true
