JORNADA;LOCAL;RESULTADO;VISITANTE;VICTORIA
1;UNI;86 - 68;SBB;UNI
1;BUR;97 - 79;GIR;BUR
1;LLT;104 - 93;BAX;LLT
1;HIO;87 - 68;BRE;HIO
1;COV;75 - 87;JOV;JOV
1;RMB;81 - 71;DGC;RMB
1;CAZ;107 - 88;BKN;CAZ
1;UCM;95 - 64;MBA;UCM
1;VBC;93 - 81;BAR;VBC
2;GIR;71 - 93;UCM;UCM
2;MBA;64 - 96;LLT;LLT
2;DGC;72 - 81;UNI;UNI
2;BAX;83 - 68;COV;BAX
2;JOV;89 - 86;CAZ;JOV
2;BAR;86 - 91;HIO;HIO
2;BRE;90 - 113;VBC;VBC
2;SBB;95 - 85;BUR;SBB
2;BKN;105 - 100;RMB;BKN
3;BAX;80 - 87;DGC;DGC
3;MBA;115 - 113;GIR;MBA
3;LLT;96 - 80;UCM;LLT
3;CAZ;84 - 88;BRE;BRE
3;JOV;101 - 69;SBB;JOV
3;RMB;90 - 80;BUR;RMB
3;HIO;78 - 99;VBC;VBC
3;COV;80 - 83;BKN;BKN
3;UNI;77 - 83;BAR;BAR
4;HIO;99 - 90;COV;HIO
4;BAR;100 - 85;BRE;BAR
4;LLT;95 - 79;UNI;LLT
4;BUR;89 - 102;CAZ;CAZ
4;GIR;85 - 81;DGC;GIR
4;UCM;89 - 84;BKN;UCM
4;SBB;81 - 71;MBA;SBB
4;VBC;102 - 90;JOV;VBC
4;RMB;87 - 75;BAX;RMB
