EQUIPO,JORNADA,RIVAL,RESULTADO,LOCAL,CUARTO,TITULAR,JUGADOR,MIN,PTS,T2,T2%,T3,T3%,TL,TL%,RO,RD,RT,ASI,PER,REC,TAP,TR,MAT,FP,FR,+/-,VAL
UNI,1,SBB,86,1,1,1,0 T. Pérez,4:54,0,0/1,0%,0/1,0%,0/0,0%,1,2,3,0,0,0,0,0,0,1,0,-4,0
UNI,1,SBB,86,1,1,1,2 O. Balcerowski,4:54,2,0/1,0%,0/0,0%,2/2,100%,0,0,0,0,0,0,0,0,0,1,1,-4,1
UNI,1,SBB,86,1,1,,4 T. Kalinoski,4:36,3,0/0,0%,1/1,100%,0/0,0%,0,0,0,1,1,0,0,0,0,0,0,2,3
UNI,1,SBB,86,1,1,,7 J. Barreiro,6:06,2,1/1,100%,0/0,0%,0/1,0%,0,0,0,0,0,1,0,0,0,0,2,-2,4
UNI,1,SBB,86,1,1,,9 A. Díaz,5:06,2,1/1,100%,0/0,0%,0/0,0%,0,0,0,0,0,0,0,0,0,0,1,1,3
UNI,1,SBB,86,1,1,,13 X. Castañeda,1:36,0,0/0,0%,0/0,0%,0/0,0%,0,0,0,0,0,0,0,0,0,0,0,-4,0
UNI,1,SBB,86,1,1,1,14 N. Djedovic,3:51,0,0/0,0%,0/1,0%,0/0,0%,0,1,1,0,2,0,0,0,0,0,0,-1,-2
UNI,1,SBB,86,1,1,,19 E. Sulejmanovic,1:33,0,0/0,0%,0/0,0%,0/0,0%,0,0,0,0,1,0,0,0,0,1,0,-4,-2
UNI,1,SBB,86,1,1,1,27 C. Duarte,3:51,2,1/1,100%,0/0,0%,0/0,0%,0,0,0,1,0,0,0,0,0,0,0,-1,3
UNI,1,SBB,86,1,1,,33 K. Tillie,3:33,0,0/0,0%,0/1,0%,0/0,0%,0,1,1,2,1,1,0,0,0,0,0,5,2
UNI,1,SBB,86,1,1,,45 D. Kravish,5:06,2,1/2,50%,0/0,0%,0/0,0%,0,1,1,1,1,0,0,0,1,0,0,1,2
UNI,1,SBB,86,1,1,1,55 K. Perry,4:54,2,1/1,100%,0/0,0%,0/0,0%,0,0,0,1,0,1,0,0,0,1,0,-4,3
UNI,1,SBB,86,1,1,,Equipo,,0,0/0,0%,0/0,0%,0/0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI,1,SBB,86,1,2,1,0 T. Pérez,4:26,4,2/2,100%,0/0,0%,0/0,0%,0,0,0,0,0,0,0,0,1,0,0,8,4
UNI,1,SBB,86,1,2,1,2 O. Balcerowski,3:41,6,1/2,50%,1/1,100%,1/1,100%,0,3,3,0,0,0,0,1,0,1,2,8,8
UNI,1,SBB,86,1,2,,4 T. Kalinoski,5:50,0,0/2,0%,0/0,0%,0/0,0%,1,0,1,0,0,0,0,0,0,1,0,9,-2
